pid,label,apellido,numero,nombre,nombre_completo,seudonimo,anno,fecha,publicacion,volumen,inicio,ubicacion,tipo,extension,formato,categoria,publico,order,layout,collection,thumbnail,full,manifest,notas
josegomezpesca,Una enredada enfadosa o la pesca aparatosa,GÓMEZ,137,José,José Gómez,Lápiz,1932,1932-10-22,Cromos,34,7,BNC,Secuencia gráfica,1,Página,Sátira política,General,00,comic_item,comics,"/img/derivatives/iiif/images/josegomezpesca/full/250,/0/default.jpg","/img/derivatives/iiif/images/josegomezpesca/full/1140,/0/default.jpg",/img/derivatives/iiif/josegomezpesca/manifest.json,""
josegomezjinete,Maniobras militares del Perú o un Jinete rival de Belcebú,GÓMEZ,139,José,José Gómez,Lápiz,1932,1932-11-12,Cromos,34,7,BNC,Secuencia gráfica,1,Página,Sátira política,General,01,comic_item,comics,"/img/derivatives/iiif/images/josegomezjinete/full/250,/0/default.jpg","/img/derivatives/iiif/images/josegomezjinete/full/1140,/0/default.jpg",/img/derivatives/iiif/josegomezjinete/manifest.json,Actualidad internacional
ricardorendonaviador,El aviador Knox Martin,RENDÓN,141,Ricardo,Ricardo Rendón,"",1919,1919-10-04,Cromos,8,211,BNC,Secuencia gráfica,0.5,Ilustraciones,Sátira política,General,02,comic_item,comics,"/img/derivatives/iiif/images/ricardorendonaviador/full/250,/0/default.jpg","/img/derivatives/iiif/images/ricardorendonaviador/full/1140,/0/default.jpg",/img/derivatives/iiif/ricardorendonaviador/manifest.json,Actualidad internacional
ricardorendonveraneo,La temporada de veraneo,RENDÓN,143,Ricardo,Ricardo Rendón,"",1920,1920-01-31,Cromos,9,7,BNC,Protocómic,1,Página,Vida cotidiana,General,03,comic_item,comics,"/img/derivatives/iiif/images/ricardorendonveraneo/full/250,/0/default.jpg","/img/derivatives/iiif/images/ricardorendonveraneo/full/1140,/0/default.jpg",/img/derivatives/iiif/ricardorendonveraneo/manifest.json,""
ricardorendonhipodromo,En el hipódromo de la Merced,RENDÓN,144,Ricardo,Ricardo Rendón,"",1920,1920-02-28,Cromos,9,101,BNC,Protocómic,1,Página,Informativos,General,04,comic_item,comics,"/img/derivatives/iiif/images/ricardorendonhipodromo/full/250,/0/default.jpg","/img/derivatives/iiif/images/ricardorendonhipodromo/full/1140,/0/default.jpg",/img/derivatives/iiif/ricardorendonhipodromo/manifest.json,"Sección ""Nota Cómica"""
rinaldoscandrogliorenacuajo,El renacuajo paseador,SCANDROGLIO,146,Rinaldo,Rinaldo Scandroglio,"",1933,1933-11-04,Cromos,36,9,BNC,Secuencia gráfica,1,Página,Literario,Infantil,05,comic_item,comics,"/img/derivatives/iiif/images/rinaldoscandrogliorenacuajo/full/250,/0/default.jpg","/img/derivatives/iiif/images/rinaldoscandrogliorenacuajo/full/1140,/0/default.jpg",/img/derivatives/iiif/rinaldoscandrogliorenacuajo/manifest.json,Publicación especial dedicada a Rafael Pombo
rinaldoscandrogliosimon,Simón el bobito,SCANDROGLIO,147,Rinaldo,Rinaldo Scandroglio,"",1933,1933-11-04,Cromos,36,9,BNC,Secuencia gráfica,1,Página,Literario,Infantil,06,comic_item,comics,"/img/derivatives/iiif/images/rinaldoscandrogliosimon/full/250,/0/default.jpg","/img/derivatives/iiif/images/rinaldoscandrogliosimon/full/1140,/0/default.jpg",/img/derivatives/iiif/rinaldoscandrogliosimon/manifest.json,Publicación especial dedicada a Rafael Pombo
rinaldoscandroglioviejecita,La pobre viejecita,SCANDROGLIO,148,Rinaldo,Rinaldo Scandroglio,"",1933,1933-11-04,Cromos,36,9,BNC,Secuencia gráfica,1,Página,Literario,Infantil,07,comic_item,comics,"/img/derivatives/iiif/images/rinaldoscandroglioviejecita/full/250,/0/default.jpg","/img/derivatives/iiif/images/rinaldoscandroglioviejecita/full/1140,/0/default.jpg",/img/derivatives/iiif/rinaldoscandroglioviejecita/manifest.json,Publicación especial dedicada a Rafael Pombo
rinaldoscandrogliogato,El gato bandido,SCANDROGLIO,149,Rinaldo,Rinaldo Scandroglio,"",1933,1933-11-04,Cromos,36,9,BNC,Secuencia gráfica,1,Página,Literario,Infantil,08,comic_item,comics,"/img/derivatives/iiif/images/rinaldoscandrogliogato/full/250,/0/default.jpg","/img/derivatives/iiif/images/rinaldoscandrogliogato/full/1140,/0/default.jpg",/img/derivatives/iiif/rinaldoscandrogliogato/manifest.json,Publicación especial dedicada a Rafael Pombo
ernestofrancocopetin,Copetín,FRANCO,494,Enresto,Ernesto Franco,"",1962,1962-04-16,El Tiempo,"","",BNC,Personaje,0.1,Tira,Vida cotidiana,General,09,comic_item,comics,"/img/derivatives/iiif/images/ernestofrancocopetin/full/250,/0/default.jpg","/img/derivatives/iiif/images/ernestofrancocopetin/full/1140,/0/default.jpg",/img/derivatives/iiif/ernestofrancocopetin/manifest.json,Primera aparición del personaje
victoriafrancopirulita,Pirulita,FRANCO,535,Victoria,Victoria Franco,"",1963,1963-07-29,El Tiempo,"","",BNC,Personaje,0.1,Tira,Vida cotidiana,General,10,comic_item,comics,"/img/derivatives/iiif/images/victoriafrancopirulita/full/250,/0/default.jpg","/img/derivatives/iiif/images/victoriafrancopirulita/full/1140,/0/default.jpg",/img/derivatives/iiif/victoriafrancopirulita/manifest.json,Primera aparición del personaje
josegomezescenasdelajirapresidencial,Escenas de la jira presidencial,GÓMEZ,253,José,José Gómez,Lápiz,1919,1919-03-15,Bogotá Cómico,"",8,BNC,Personaje,1,Texto e imagen separados,Sátira política,General,11,comic_item,comics,"/img/derivatives/iiif/images/josegomezescenasdelajirapresidencial/full/250,/0/default.jpg","/img/derivatives/iiif/images/josegomezescenasdelajirapresidencial/full/1140,/0/default.jpg",/img/derivatives/iiif/josegomezescenasdelajirapresidencial/manifest.json,""
adolfosampermojicon,Mojicón,SAMPER,76,Adolfo,Adolfo Samper,"",1928,1928-02-04,Mundo al día,"","",BNC,Personaje,1,Página,Vida cotidiana,Infantil,12,comic_item,comics,"/img/derivatives/iiif/images/adolfosampermojicon/full/250,/0/default.jpg","/img/derivatives/iiif/images/adolfosampermojicon/full/1140,/0/default.jpg",/img/derivatives/iiif/adolfosampermojicon/manifest.json,Edición a color - Tira Incalcable
